seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,high_risk_avg_response_time,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,high_priority_top5_rate,priority_weighted_completion_time,risk_weighted_completion_time,replanning_count,task_sequence
6,w/o Abnormal,20,224.0,473.3333333333334,159.66666666666669,150.4761904761905,"P7,P6,P2,P14",25.0,167.91666666666669,40.0,165.8863466259528,188.8655825480522,1,P10->P17->P5->P2->P20->P13->P18->P12->P4->P16->P14->P9->P7->P8->P3->P6->P11->P15->P19->P1
6,w/o Complexity,20,241.0,501.6666666666667,157.33333333333334,187.8571428571429,"P8,P7,P3,P15",75.0,71.66666666666667,60.0,193.75458488968408,229.3849137845097,1,P10->P5->P2->P15->P3->P8->P18->P7->P12->P20->P13->P17->P19->P4->P16->P9->P14->P1->P6->P11
6,w/o Energy,20,233.0,488.33333333333337,177.66666666666669,149.28571428571428,"P7,P6,P2,P14",25.0,153.75,40.0,184.34657472723458,196.43942759918932,1,P10->P17->P5->P2->P20->P13->P18->P7->P12->P16->P14->P4->P9->P15->P6->P3->P8->P11->P1->P19
7,Full-Proposed-Balanced,20,301.0,601.6666666666667,151.24999999999997,151.0,"P5,P14,P11,P15",75.0,102.91666666666669,60.0,231.52393640102957,247.43367055480627,1,P12->P20->P6->P11->P14->P16->P15->P13->P7->P5->P1->P10->P4->P2->P3->P8->P18->P19->P9->P17
7,w/o Priority,20,238.0,496.66666666666674,286.6666666666667,107.66666666666667,"P7,P15,P13,P16",100.0,70.83333333333334,20.0,251.0434584499699,195.45144855922447,1,P12->P5->P1->P15->P13->P7->P16->P14->P2->P4->P10->P8->P20->P6->P18->P3->P17->P19->P11->P9
7,w/o Risk,20,272.0,553.3333333333334,182.08333333333337,156.66666666666669,"P7,P15,P13,P16",100.0,70.83333333333334,20.0,207.48634007825322,237.68236277332826,1,P12->P5->P1->P15->P13->P7->P16->P11->P19->P20->P6->P18->P3->P17->P10->P4->P14->P2->P8->P9
7,w/o Abnormal,20,274.0,556.6666666666666,197.0833333333333,174.66666666666666,"P5,P14,P11,P15",25.0,194.99999999999997,40.0,233.44577300440085,245.86955954181107,1,P12->P20->P6->P18->P15->P13->P7->P4->P16->P11->P14->P2->P10->P1->P5->P8->P3->P17->P19->P9
7,w/o Complexity,20,255.0,524.9999999999999,148.74999999999997,142.66666666666666,"P5,P14,P11,P15",75.0,72.08333333333333,40.0,209.12086714950544,224.22705720845116,1,P12->P20->P6->P5->P15->P13->P14->P11->P16->P2->P4->P10->P3->P1->P18->P8->P17->P19->P9->P7
7,w/o Energy,20,276.0,560.0000000000001,152.91666666666666,166.0,"P5,P14,P10,P15",50.0,108.33333333333331,60.0,246.9106937678063,253.6494588717491,1,P12->P20->P11->P14->P15->P13->P7->P5->P1->P10->P4->P16->P2->P6->P18->P3->P8->P17->P19->P9
8,Full-Proposed-Balanced,20,256.0,526.6666666666666,288.3333333333333,135.83333333333334,"P1,P6,P13,P5",50.0,112.5,0.0,233.8565926427822,201.450017594611,1,P18->P17->P8->P6->P5->P19->P11->P13->P20->P9->P16->P10->P12->P1->P7->P14->P3->P4->P15->P2
8,w/o Priority,20,258.0,530.0,406.66666666666663,130.55555555555557,"P1,P7,P14,P5",75.0,102.08333333333333,0.0,250.544742346937,205.37077201255227,1,P6->P8->P18->P1->P7->P14->P10->P12->P20->P9->P16->P11->P5->P15->P19->P3->P13->P17->P4->P2
8,w/o Risk,20,260.0,533.3333333333334,143.33333333333334,322.50000000000006,"P1,P7,P13,P6",50.0,82.5,20.0,214.57808988758305,265.2799769344653,1,P4->P18->P17->P1->P7->P12->P10->P6->P13->P3->P19->P5->P15->P11->P2->P9->P20->P16->P14->P8
8,w/o Abnormal,20,260.0,533.3333333333334,200.83333333333337,156.94444444444449,"P1,P6,P13,P5",0.0,274.58333333333337,20.0,240.14178650549567,217.53622560473903,1,P18->P17->P8->P19->P11->P16->P9->P20->P13->P3->P4->P6->P15->P5->P10->P12->P7->P14->P1->P2
8,w/o Complexity,20,236.0,493.3333333333334,114.16666666666669,120.0,"P1,P6,P13,P5",50.0,170.00000000000003,20.0,217.9338717328776,195.90876537561743,1,P8->P18->P17->P6->P4->P19->P13->P20->P16->P11->P5->P15->P3->P12->P10->P7->P1->P14->P9->P2
8,w/o Energy,20,256.0,526.6666666666666,288.3333333333333,135.83333333333334,"P1,P6,P13,P5",50.0,112.5,0.0,233.8565926427822,201.450017594611,1,P18->P17->P8->P6->P5->P19->P11->P13->P20->P9->P16->P10->P12->P1->P7->P14->P3->P4->P15->P2
9,Full-Proposed-Balanced,20,251.0,518.3333333333335,361.66666666666674,213.75000000000006,"P13,P10,P14,P11",50.0,92.91666666666669,0.0,256.8061139907601,232.8626510102218,1,P15->P9->P5->P10->P13->P2->P1->P14->P12->P11->P17->P20->P3->P8->P16->P18->P7->P19->P4->P6
9,w/o Priority,20,251.0,518.3333333333334,376.11111111111114,212.91666666666669,"P13,P10,P14,P11",50.0,102.50000000000001,0.0,263.159470421912,220.37116985048374,1,P15->P9->P5->P10->P14->P1->P19->P13->P2->P12->P11->P3->P17->P20->P8->P16->P18->P7->P4->P6
9,w/o Risk,20,231.0,485.0,248.6111111111111,252.08333333333331,"P13,P9,P14,P10",50.0,77.91666666666666,40.0,213.7878779650188,241.09668200998715,1,P15->P4->P12->P1->P14->P13->P2->P10->P9->P5->P20->P17->P3->P11->P7->P19->P18->P16->P8->P6
9,w/o Abnormal,20,219.0,465.0000000000001,268.0555555555556,220.4166666666667,"P13,P10,P14,P11",50.0,115.00000000000003,20.0,215.57455164244496,222.99779221530713,1,P15->P9->P5->P10->P4->P13->P2->P12->P1->P14->P17->P20->P3->P11->P7->P19->P16->P18->P8->P6
9,w/o Complexity,20,210.0,450.0,234.44444444444446,190.41666666666669,"P13,P10,P14,P11",50.0,147.91666666666669,20.0,213.79155078521921,212.76359235183835,1,P15->P9->P4->P13->P14->P1->P12->P2->P19->P11->P7->P17->P20->P3->P16->P18->P8->P6->P5->P10
9,w/o Energy,20,253.0,521.6666666666667,365.00000000000006,214.16666666666669,"P13,P10,P14,P11",75.0,92.5,0.0,260.1773005675334,235.3629835595482,1,P15->P9->P5->P10->P13->P2->P14->P1->P12->P11->P17->P20->P3->P8->P16->P18->P7->P19->P4->P6
10,Full-Proposed-Balanced,19,204.0,434.99999999999994,122.6666666666667,135.0,"P13,P1,P9,P4",25.0,146.24999999999997,60.0,167.86468513935768,209.70997606542463,1,P10->P8->P11->P7->P4->P16->P19->P20->P14->P2->P1->P15->P13->P9->P17->P5->P3->P18->P12
10,w/o Priority,19,194.0,418.3333333333334,231.66666666666669,215.0,"P12,P1,P8,P4",50.0,144.58333333333334,20.0,212.16061084480341,197.50839934145307,1,P10->P9->P17->P13->P8->P4->P11->P7->P14->P16->P1->P12->P3->P18->P2->P20->P15->P19->P5
10,w/o Risk,19,188.0,408.3333333333333,175.0,234.16666666666669,"P12,P1,P8,P4",50.0,172.5,20.0,182.79566303193724,226.99716329111197,1,P10->P9->P17->P5->P8->P4->P7->P11->P2->P19->P16->P1->P15->P20->P14->P12->P18->P3->P13
10,w/o Abnormal,19,202.0,431.66666666666663,108.00000000000003,147.91666666666669,"P13,P1,P9,P4",25.0,187.08333333333331,80.0,171.9305791915998,209.16749185600275,1,P10->P8->P11->P7->P2->P4->P16->P19->P20->P15->P14->P1->P12->P3->P18->P13->P9->P17->P5
10,w/o Complexity,19,174.0,384.99999999999994,125.66666666666666,126.66666666666666,"P12,P1,P9,P4",25.0,148.33333333333331,60.0,163.08126185632457,171.73969513953534,1,P13->P8->P11->P7->P4->P16->P20->P1->P2->P14->P19->P15->P17->P9->P10->P5->P3->P18->P12
10,w/o Energy,19,204.0,434.99999999999994,122.6666666666667,135.0,"P13,P1,P9,P4",25.0,146.24999999999997,60.0,167.86468513935768,209.70997606542463,1,P10->P8->P11->P7->P4->P16->P19->P20->P14->P2->P1->P15->P13->P9->P17->P5->P3->P18->P12
11,Full-Proposed-Balanced,20,245.0,508.3333333333333,77.0,250.0,"P9,P8,P11,P4",75.0,123.33333333333334,80.0,201.29450162518216,213.38314225687375,1,P3->P13->P2->P20->P8->P4->P9->P6->P7->P10->P15->P19->P11->P18->P5->P17->P12->P16->P1->P14
11,w/o Priority,20,235.0,491.6666666666667,147.33333333333331,213.33333333333334,"P9,P8,P11,P2",75.0,80.41666666666667,60.0,213.29006774377729,190.5974985131693,1,P3->P13->P5->P2->P8->P9->P6->P10->P15->P7->P4->P11->P19->P16->P18->P17->P20->P12->P1->P14
11,w/o Risk,20,249.0,515.0,73.0,250.0,"P9,P8,P11,P4",75.0,114.58333333333334,80.0,192.12223545284652,213.77301270722825,1,P3->P20->P2->P13->P8->P4->P9->P6->P7->P15->P10->P1->P19->P11->P18->P5->P12->P17->P16->P14
11,w/o Abnormal,20,229.0,481.6666666666666,92.33333333333333,164.99999999999997,"P9,P8,P11,P4",25.0,204.16666666666669,80.0,196.9836154332584,186.67667641203735,1,P3->P13->P2->P20->P17->P19->P9->P6->P7->P4->P10->P15->P8->P18->P5->P12->P11->P16->P1->P14
11,w/o Complexity,20,232.0,486.6666666666667,77.0,277.77777777777777,"P9,P8,P11,P4",75.0,140.83333333333331,80.0,197.44182096237927,227.93467553612857,1,P3->P13->P2->P20->P8->P4->P9->P6->P10->P7->P15->P1->P14->P18->P11->P19->P16->P17->P12->P5
11,w/o Energy,20,245.0,508.3333333333333,87.0,235.55555555555557,"P9,P8,P11,P4",50.0,130.41666666666669,80.0,203.5483964603932,209.1842003856036,1,P3->P13->P2->P20->P8->P9->P6->P4->P10->P7->P15->P19->P11->P18->P5->P17->P12->P16->P1->P14
12,Full-Proposed-Balanced,20,220.0,466.66666666666674,180.55555555555557,255.0,"P4,P20,P8,P11",50.0,172.08333333333337,60.0,197.54142926923697,209.82230355694443,1,P19->P7->P3->P16->P20->P4->P18->P12->P17->P8->P1->P6->P10->P15->P14->P9->P2->P5->P11->P13
12,w/o Priority,20,234.0,489.99999999999994,229.4444444444444,167.08333333333334,"P4,P20,P8,P11",50.0,117.91666666666666,60.0,236.3900898602436,201.58845806377357,1,P19->P3->P7->P16->P20->P9->P4->P11->P5->P8->P18->P12->P17->P15->P6->P10->P1->P14->P2->P13
12,w/o Risk,20,253.0,521.6666666666667,157.03703703703707,290.83333333333337,"P4,P20,P8,P11",50.0,142.5,80.0,179.4910974730018,231.60539659705768,1,P19->P7->P3->P16->P4->P20->P2->P14->P8->P18->P12->P17->P6->P10->P11->P13->P5->P1->P15->P9
12,w/o Abnormal,20,230.0,483.33333333333337,175.00000000000003,140.83333333333331,"P4,P20,P8,P11",0.0,257.9166666666667,80.0,190.2279343346183,180.7148888292313,1,P19->P7->P3->P16->P18->P12->P17->P20->P5->P4->P9->P2->P14->P6->P10->P15->P8->P1->P11->P13
12,w/o Complexity,20,282.0,570.0,185.0,108.75,"P3,P20,P6,P9",75.0,93.33333333333334,80.0,224.45177304652108,221.6185249934126,1,P19->P16->P18->P6->P20->P9->P5->P4->P13->P3->P7->P14->P2->P10->P12->P17->P8->P1->P15->P11
12,w/o Energy,20,272.0,553.3333333333334,194.07407407407405,150.0,"P3,P20,P6,P9",75.0,80.0,80.0,223.99614635353134,219.42075290948412,1,P19->P18->P12->P6->P20->P9->P4->P5->P16->P3->P7->P2->P14->P17->P15->P10->P8->P1->P11->P13
13,Full-Proposed-Balanced,20,253.0,521.6666666666667,205.66666666666669,0.0,"P11,P18,P12,P7",75.0,112.91666666666667,20.0,227.0277312273644,255.93200374162333,1,P8->P13->P10->P11->P12->P4->P7->P6->P18->P14->P3->P9->P2->P5->P17->P19->P1->P15->P16->P20
13,w/o Priority,20,246.0,510.00000000000006,251.66666666666669,0.0,"P11,P18,P12,P7",50.0,122.08333333333334,0.0,223.40927658244905,237.3108891667546,1,P8->P13->P10->P18->P6->P7->P14->P1->P3->P11->P12->P5->P2->P9->P15->P16->P20->P19->P4->P17
13,w/o Risk,20,281.0,568.3333333333334,230.33333333333334,0.0,"P11,P18,P12,P7",75.0,106.25000000000001,20.0,231.38180885470712,272.4264037628024,1,P8->P13->P10->P11->P12->P17->P7->P6->P18->P14->P3->P4->P2->P5->P9->P1->P15->P16->P20->P19
13,w/o Abnormal,20,213.0,455.0,170.66666666666669,0.0,"P11,P18,P12,P7",50.0,101.25,20.0,193.43717074690133,208.83445357742963,1,P8->P13->P10->P11->P9->P18->P6->P7->P3->P4->P12->P5->P2->P17->P19->P14->P1->P15->P16->P20
13,w/o Complexity,20,230.0,483.3333333333333,161.33333333333331,0.0,"P11,P18,P12,P7",75.0,98.33333333333334,20.0,186.19388384197228,211.05375907179845,1,P13->P8->P10->P11->P9->P18->P7->P6->P3->P4->P12->P2->P5->P16->P20->P15->P14->P1->P19->P17
13,w/o Energy,20,253.0,521.6666666666667,205.66666666666669,0.0,"P11,P18,P12,P7",75.0,112.91666666666667,20.0,227.0277312273644,255.93200374162333,1,P8->P13->P10->P11->P12->P4->P7->P6->P18->P14->P3->P9->P2->P5->P17->P19->P1->P15->P16->P20
14,Full-Proposed-Balanced,20,245.0,508.3333333333333,150.27777777777777,160.55555555555557,"P6,P8,P7,P13",50.0,129.16666666666666,80.0,203.71098113421678,201.02827067927268,1,P11->P20->P15->P17->P19->P6->P13->P14->P10->P12->P9->P18->P8->P7->P3->P2->P4->P5->P1->P16
14,w/o Priority,20,251.0,518.3333333333334,235.83333333333337,182.5,"P8,P10,P9,P15",50.0,148.33333333333334,20.0,236.65010681404746,207.76589514674941,1,P11->P3->P7->P9->P18->P10->P14->P15->P17->P19->P6->P12->P4->P5->P20->P2->P8->P13->P1->P16
14,w/o Risk,20,273.0,555.0000000000001,169.72222222222226,301.3888888888889,"P6,P8,P7,P13",25.0,153.33333333333331,60.0,228.54600566261342,277.2648795645793,1,P11->P20->P15->P5->P17->P19->P6->P13->P10->P14->P8->P7->P3->P2->P4->P12->P9->P18->P16->P1
14,w/o Abnormal,20,229.0,481.6666666666666,139.7222222222222,194.16666666666666,"P6,P8,P7,P13",0.0,266.66666666666663,80.0,204.75391668502434,210.89337916720945,1,P11->P20->P15->P17->P19->P14->P10->P12->P9->P18->P8->P7->P3->P2->P4->P5->P6->P13->P1->P16
14,w/o Complexity,20,249.0,515.0,143.61111111111111,185.55555555555557,"P6,P8,P7,P13",50.0,134.16666666666669,100.0,210.70746765758236,214.9906592421916,1,P11->P20->P15->P19->P14->P6->P13->P12->P17->P10->P9->P7->P8->P18->P3->P2->P5->P4->P1->P16
14,w/o Energy,20,257.0,528.3333333333334,158.61111111111111,175.55555555555557,"P6,P8,P7,P13",50.0,140.0,80.0,218.17124169249834,216.65923063933832,1,P11->P20->P15->P6->P19->P17->P13->P14->P10->P12->P9->P18->P8->P7->P3->P2->P4->P5->P1->P16
15,Full-Proposed-Balanced,20,264.0,540.0,130.83333333333334,193.00000000000003,"P14,P18,P16,P1",50.0,137.91666666666669,60.0,231.32694230871417,265.4792906377463,1,P20->P6->P4->P18->P13->P10->P16->P14->P1->P8->P19->P3->P17->P12->P7->P2->P11->P15->P5->P9
15,w/o Priority,20,299.0,598.3333333333334,216.25000000000003,161.66666666666666,"P13,P18,P15,P1",50.0,115.41666666666666,60.0,241.5950410170529,219.6385815674685,1,P16->P6->P20->P13->P4->P18->P2->P7->P1->P15->P8->P3->P17->P5->P12->P19->P11->P10->P9->P14
15,w/o Risk,20,232.0,486.66666666666674,128.75,234.00000000000006,"P13,P18,P15,P1",50.0,147.5,60.0,188.7112281056937,249.58474930156294,1,P16->P4->P20->P18->P13->P12->P6->P7->P2->P11->P19->P14->P1->P15->P9->P3->P17->P8->P5->P10
15,w/o Abnormal,20,244.0,506.6666666666667,155.41666666666666,139.0,"P14,P18,P16,P1",0.0,287.9166666666667,60.0,209.3688646398424,221.45234906208455,1,P20->P6->P4->P13->P10->P7->P2->P11->P19->P8->P3->P17->P12->P18->P16->P14->P1->P15->P5->P9
15,w/o Complexity,20,234.0,490.00000000000006,99.58333333333334,186.66666666666669,"P13,P18,P15,P1",75.0,103.75000000000001,60.0,207.72086015730605,223.2797113891632,1,P16->P20->P4->P13->P15->P1->P14->P19->P8->P17->P6->P18->P10->P12->P7->P2->P11->P3->P5->P9
